Family_fa,Given_fa,Paper_articleTitle,Paper_authorFullNames,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,fa_insti,country
Youm,Kyu Ho,"""The """"Right to Be Forgotten"""" in European Union Law: Data Protection Balanced With Free Speech?""","Youm, Kyu Ho (1)| Park, Ahran (2)",(S),6.55,88.65,0,3.49,(S),"Univ Oregon, Sch Journalism & Commun, Eugene, OR 97403 USA",USA
Vishwanath,Arun,The 360 degrees news experience: Audience connections with the ubiquitous news organization,"Vishwanath, Arun (1)| Hollander, Barry A. (2)",(S),0,96.71,(S),(S),(S),"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA",USA
Vishwanath,Chris R.,"Religiosity, Anxiety, and Discussions About Organ Donation: Understanding a Complex Systemof Associations",", Chris R. (1)| Afifi, Walid A. (2)| Morgan, Susan E. (3)| Stephenson, Michael T. (4)| Reichert, Tom (5)| Harrison, Tyler R. (6)| Long, Shawn D. (7)",(S),0,96.71,(S),(S),(S),"Bryant Univ, Dept Commun, Smithfield, RI 02917 USA",USA
Vishwanath,A,Comparing online information effects - A cross-cultural comparison of online information and uncertainty avoidance,"Vishwanath, A (1)",(S),0,96.71,(S),(S),(S),"SUNY Buffalo, Sch Informat, Buffalo, NY 14260 USA",USA
Ramasubramanian,Srividya,Media-based strategies to reduce racial stereotypes activated by news stories,"Ramasubramanian, Srividya (1)",(S),0,98.82,0,0,(S),"Texas A&M Univ, Dept Commun, College Stn, TX 77843 USA",USA
Potnis,Devendra,Culture's consequences: Economic barriers to owning mobile phones experienced by women in India,"Potnis, Devendra (1)",(S),0,98.28,0,0,(S),"Univ Tennessee, Sch Informat Sci, Knoxville, TN 37996 USA",USA
Muturi,Nancy,Older Adults' Perspectives on HIV/AIDS Prevention Strategies for Rural Kenya,"Muturi, Nancy (1)| Mwangi, Samuel (2)",(S),96.67,0,0,(S),(S),"Kansas State Univ, AQ Miller Sch Journalism & Mass Commun, Manhattan, KS 66506 USA",USA
KASSAYE,WW,TV STATIONS USE OF BARTER TO FINANCE PROGRAMS AND ADVERTISEMENTS,"KASSAYE, WW (1)| VACCARO, JP (2)",(S),95.65,0,0,2.17,(S),"SUFFOLK UNIV,BOSTON,MA 02114",USA
Jahng,Mi Rosie,"Interacting Is Believing: Interactivity, Social Cue, and Perceptions of Journalistic Credibility on Twitter","Jahng, Mi Rosie (1)| Littau, Jeremy (2)",(S),0,96.46,0,(S),(S),"Hope Coll, Dept Commun, 257 Columbia Ave, Holland, MI 49423 USA",USA
Gunaratne,Shelton A.,"Globalizing communication/journalism, ending fragmentation within philosophy, and analyzing history as life-spans in samsara","Gunaratne, Shelton A. (1)",(S),0,94.62,0,(S),(S),"Minnesota State Univ Moorhead, Sch Commun, Moorhead, MN 56563 USA",USA
Asiedu,Christobel,INFORMATION COMMUNICATION TECHNOLOGIES FOR GENDER AND DEVELOPMENT A review of the literature,"Asiedu, Christobel (1)",(S),97.3,0,0,1.35,(S),"Louisiana Tech Univ, Dept Social Sci, Ruston, LA 71272 USA",USA
Alade,Fashina,What Preschoolers Bring to the Show: The Relation Between Viewer Characteristics and Children's Learning from Educational Television,"Alade, Fashina (1)| Nathanson, Amy I. (2)",(S),95.75,(S),0,(S),(S),"Northwestern Univ, Sch Commun, 2240 Campus Dr,Frances Searle Bldg 2-147, Evanston, IL 60208 USA",USA
