last_name,first_name,article_title,fa_insti
Tettey, Wisdom John ,"Homosexuality, Moral Panic, and Politicized Homophobia in Ghana: Interrogating Discourses of Moral Entrepreneurship in Ghanaian Media","Univ British Columbia, Irving K Barber Sch Arts & Sci, Kelowna, BC V1V 1V7, Canada"
Workneh, Tewodros W. ,Chinese Multinationals in the Ethiopian Telecommunications Sector,"Univ Oregon, Journalism & Commun, Eugene, OR 97405 USA"
Nemorin, Selena ,Exploring Neuromarketing and Its Reliance on Remote Sensing: Social and Ethical Concerns,"London Sch Econ & Polit Sci, London, England"
Mpofu, Shepherd ,Art as Journalism in Zimbabwe The case of Owen Maseko's banned Zimbabwean genocide exhibition,"Univ Johannesburg, Dept Commun Studies, Johannesburg, South Africa"
Gunaratne, Shelton A. ,"Globalizing communication/journalism, ending fragmentation within philosophy, and analyzing history as life-spans in samsara","Minnesota State Univ Moorhead, Sch Commun, Moorhead, MN 56563 USA"
Potnis, Devendra ,Culture's consequences: Economic barriers to owning mobile phones experienced by women in India,"Univ Tennessee, Sch Informat Sci, Knoxville, TN 37996 USA"
Chintalapati, Nagapavan ,Examining the use of YouTube as a Learning Resource in higher education: Scale development and validation of TAM model,"Univ Hyderabad, Sch Management Studies, Hyderabad 500046, Andhra Pradesh, India"
Bholat, David ,Big Data and central banks,"Adv Analyt Bank England, Threadneedle St, London EC2R 8AH, England"
Shiau, Hong-Chi ,Engaging publics via documentaries: A typological study of advocacy functions among Taiwanese NPOs' productions,"Shih Hsin Univ, Commun Management Dept, Taipei, Taiwan"
Olatunji, Rotimi Williams ,As others see us: Differing perceptions of public relations in Nigeria among practitioners and the general public,"Kwara State Univ, Coll Informat Commun Technol, Dept Mass Commun, Malete, Nigeria"
Ramasubramanian, Srividya ,Media-based strategies to reduce racial stereotypes activated by news stories,"Texas A&M Univ, Dept Commun, College Stn, TX 77843 USA"
Jahng, Mi Rosie ,"Interacting Is Believing: Interactivity, Social Cue, and Perceptions of Journalistic Credibility on Twitter","Hope Coll, Dept Commun, 257 Columbia Ave, Holland, MI 49423 USA"
Vishwanath, Arun ,The 360 degrees news experience: Audience connections with the ubiquitous news organization,"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA"
Youm, Kyu Ho ,"""The """"Right to Be Forgotten"""" in European Union Law: Data Protection Balanced With Free Speech?""","Univ Oregon, Sch Journalism & Commun, Eugene, OR 97403 USA"
Asiedu, Christobel ,INFORMATION COMMUNICATION TECHNOLOGIES FOR GENDER AND DEVELOPMENT A review of the literature,"Louisiana Tech Univ, Dept Social Sci, Ruston, LA 71272 USA"
Alade, Fashina ,What Preschoolers Bring to the Show: The Relation Between Viewer Characteristics and Children's Learning from Educational Television,"Northwestern Univ, Sch Commun, 2240 Campus Dr,Frances Searle Bldg 2-147, Evanston, IL 60208 USA"
Ramasubramanian, Srividya ,Activating and suppressing hostile and benevolent racism: Evidence for comparative media stereotyping,"Texas A&M Univ, College Stn, TX 77843 USA"
Muturi, Nancy ,Older Adults' Perspectives on HIV/AIDS Prevention Strategies for Rural Kenya,"Kansas State Univ, AQ Miller Sch Journalism & Mass Commun, Manhattan, KS 66506 USA"
Vishwanath, Arun ,Negative Public Perceptions of Juvenile Diabetics: Applying Attribution Theory to Understand the Public's Stigmatizing Views,"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA"
Vishwanath, Arun ,Using Frames to Influence Consumer Willingness to Pay for the Patient Health Record: A Randomized Experiment,"SUNY Buffalo, Dept Commun, Buffalo, NY USA"
Vishwanath, Chris R. ,"Religiosity, Anxiety, and Discussions About Organ Donation: Understanding a Complex Systemof Associations","Bryant Univ, Dept Commun, Smithfield, RI 02917 USA"
Gunasekaran, A ,E-commerce in Hong Kong: an empirical perspective and analysis,"Univ Massachusetts, Dept Management, N Dartmouth, MA 02747 USA"
Atluri, Tara ,"Lighten up?! Humour, Race, and Da off colour joke of Ali G","London Sch Econ & Polit Sci, London, England"
Gunaratne, Shelton A. ,De-Westernizing communication/social science research: opportunities and limitations,"Minnesota State Univ Moorhead, Moorhead, MN USA"
AGBAJE, A ,BEYOND THE STATE - CIVIL-SOCIETY AND THE NIGERIAN PRESS UNDER MILITARY-RULE,Missing
Tettey, WJ ,"The media and democratization in Africa: contributions, constraints and concerns of the private press","Univ Calgary, Fac Commun & Culture, Grad Program Commun Studies, Calgary, AB T2N 1N4, Canada"
Ramasubramanian, Srividya ,Building meaningful cross-sector partnerships for children and media initiatives: a conversation cafe with scholars and activists from around the world,"Texas A&M Univ, Dept Commun, College Stn, TX USA"
Workneh, Tewodros W. ,"Counter-terrorism in Ethiopia: manufacturing insecurity, monopolizing speech","Kent State Univ, Sch Commun Studies, Kent, OH 44242 USA"
Vishwanath, A ,Comparing online information effects - A cross-cultural comparison of online information and uncertainty avoidance,"SUNY Buffalo, Sch Informat, Buffalo, NY 14260 USA"
Ramasubramanian, Srividya ,"The Impact of Stereotypical Versus Counterstereotypical Media Exemplars on Racial Attitudes, Causal Attributions, and Support for Affirmative Action","Texas A&M Univ, Dept Commun, College Stn, TX 77843 USA"
Vishwanath, Arun ,The effect of the number of opinion seekers and leaders on technology attitudes and choices,"SUNY Buffalo, Sch Informat, Buffalo, NY 14260 USA"
Vishwanath, A ,"Manifestations of interpersonal trust in online interaction - A cross-cultural study comparing the differential utilization of seller ratings by eBay participants in Canada, France, and Germany","SUNY Buffalo, Sch Informat, Buffalo, NY 14260 USA"
Vishwanath, A ,An examination of the factors contributing to adoption decisions among late-diffused technology products,"SUNY Buffalo, Sch Informat, Dept Commun, Buffalo, NY 14260 USA"
Shiau, Hong-Chi ,Bonding Gossip as an Identity Negotiation Life Phase: A Study of Multimodal Texting via Smartphone Among Taiwanese College Freshmen,"Shih Hsin Univ, Gender Studies, Taipei, Taiwan"
Sinanan, Jolynna ,Non-Activism: Political Engagement and Facebook Through Ethnography in Trinidad,"RMIT Univ, Sch Media & Commun, Melbourne, Vic, Australia"
Vishwanath, Arun ,From Belief-Importance to Intention: The Impact of Framing on Technology Adoption,"Sch Informat, Buffalo, NY USA"
Ramasubramanian, Srividya ,"Television Viewing, Racial Attitudes, and Policy Preferences: Exploring the Role of Social Identity and Intergroup Emotions in Influencing Support for Affirmative Action","Texas A&M Univ, Dept Commun, College Stn, TX 77845 USA"
Vishwanath, Arun ,Habitual Facebook Use and its Impact on Getting Deceived on Social Media,"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA"
Vishwanath, Arun ,Examining the Distinct Antecedents of E-Mail Habits and its Influence on the Outcomes of a Phishing Attack,"SUNY Buffalo, Commun, Buffalo, NY 14260 USA"
Sarangi, S ,Zones of expertise and the management of uncertainty in genetics risk communication,"Cardiff Univ, Hlth Commun Res Ctr, Cardiff CF10 3XB, S Glam, Wales"
KASSAYE, WW ,TV STATIONS USE OF BARTER TO FINANCE PROGRAMS AND ADVERTISEMENTS,"SUFFOLK UNIV,BOSTON,MA 02114"
Alcibar, Miguel ,Information visualisation as a resource for popularising the technical-biomedical aspects of the last Ebola virus epidemic: The case of the Spanish reference press,"Univ Seville, Seville, Spain"
Bhaduri, Saradindu ,Public understanding of participation in regulatory decision-making: The case of bottled water quality standards in India,"Jawaharlal Nehru Univ, Ctr Studies Sci Policy, New Delhi 110067, India"
Sinanan,Jolynna,Mobile Media Photography and Intergenerational Families,"Univ Sydney, Sydney, NSW, Australia"
Jahng,Mi Rosie,How radical is radical?: Understanding the role of activists' communication strategies on the formation of public attitude and evaluation,"Hope Coll, Dept Commun, Holland, MI 49422 USA"
Chadee,Derek,"Copycat Crime Dynamics: The Interplay of Empathy, Narrative Persuasion and Risk With Likelihood to Commit Future Criminality","Univ West Indies, Dept Behav Sci, St Augustine Campus, St Augustine, Trinid & Tobago"
Chadee,Derek,Murder She Watched: Does Watching News or Fictional Media Cultivate Fear of Crime?,"Univ West Indies, Dept Behav Sci, Kingston, Jamaica"
Vishwanath,Arun,Physician Adoption of Personal Digital Assistants (PDA): Testing Its Determinants Within a Structural Equation Model,"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA"
Vijaykumar,Santosh,"Youth, New Media, and HIV/AIDS: Determinants of Participation in an Online Health Social Movement","Nanyang Technol Univ, Ctr Social Media Innovat Commun, Singapore 637332, Singapore"
Vishwanath,Arun,"Suspicion, Cognition, and Automaticity Model of Phishing Susceptibility","SUNY Buffalo, Commun, Buffalo, NY USA"
Ramasubramanian,Srividya,Facilitated difficult dialogues on racism: a goal-based approach,"Texas A&M Univ, Dept Commun, College Stn, TX 77843 USA"
HYMES, D ,"SIMPSON,LOUIS 'DESERTED BOY'","UNIV PENN,PHILADELPHIA,PA 19174"
Givens, SMB ,"Priming mammies, jezebels, and other controlling images: An examination of the influence of mediated stereotypes on perceptions of an African American woman","Univ Alabama, Dept Commun Arts, Huntsville, AL 35899 USA"
ASON, R ,CONTRAST EFFECTS AND SUBTRACTION IN PART-WHOLE QUESTIONS,"UNIV IDAHO,DEPT AGR ECON & RURAL SOCIOL,MOSCOW,ID 83843"
ASON, WS ,AN EXPERIMENTAL-STUDY OF FACTORS AFFECTING RESPONSE TO A MAIL SURVEY OF BEGINNING TEACHERS,Missing
Coleman, R ,The moral development of journalists: A comparison with other professions and a model for predicting high quality ethical reasoning,"Louisiana State Univ, Manship Sch Mass Commun, Baton Rouge, LA 70803 USA"
Coleman, Renita ,Network TV news' affective framing of the presidential candidates: Evidence for a second-level agenda-setting effect through visual framing,"Univ Texas, Austin, TX 78712 USA"
Coleman, Renita ,COLOR BLIND: RACE AND THE ETHICAL REASONING OF BLACKS ON JOURNALISM DILEMMAS,"Univ Texas Austin, Sch Journalism, Austin, TX 78712 USA"
Coleman, R ,Race and ethical reasoning: The importance of race to journalistic decision making,"Louisiana State Univ, Manship Sch Mass Commun, Baton Rouge, LA 70803 USA"
Coleman, Renita ,PROPOSING EMOTION AS A DIMENSION OF AFFECTIVE AGENDA SETTING: SEPARATING AFFECT INTO TWO COMPONENTS AND COMPARING THEIR SECOND-LEVEL EFFECTS,"Boston Univ, Coll Commun, Boston, MA 02215 USA"
Coleman, Renita ,"The young and agenda-less? Exploring age-related differences in agenda setting on the youngest generation, baby boomers, and the civic generation","Univ Texas Austin, Sch Journalism, Austin, TX 78712 USA"
